
年月日,平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa)
2022/6/22,20.3,8,0.0,0,8,0.1,0,8,2.8,8,19.4,8
2022/6/23,18.9,8,0.5,0,8,0.0,0,8,2.6,8,20.8,8
2022/6/24,22.5,8,0.0,0,8,1.9,0,8,2.0,8,24.4,8
2022/6/25,28.6,8,0.5,0,8,11.6,0,8,4.0,8,21.8,8
2022/6/26,28.2,8,2.0,0,8,10.3,0,8,2.6,8,23.6,8
2022/6/27,25.2,8,12.0,0,8,1.2,0,8,2.9,8,26.6,8
2022/6/28,26.0,8,0.0,0,8,3.3,0,8,1.8,8,26.8,8
2022/6/29,29.9,8,0,1,8,7.5,0,8,2.8,8,23.9,8
2022/6/30,29.7,8,0,1,8,9.8,0,8,3.5,8,24.5,8
2022/7/1,28.1,8,0,1,8,9.2,0,8,2.2,8,25.6,8
2022/7/2,28.6,8,0,1,8,13.7,0,8,2.7,8,25.9,8
2022/7/3,29.0,8,0.0,0,8,13.8,0,8,2.3,8,26.2,8
2022/7/4,26.2,8,14.0,0,8,7.0,0,8,2.4,8,27.0,8
2022/7/5,25.2,8,0.0,0,8,7.9,0,8,2.3,8,27.3,8
2022/7/6,23.0,8,1.5,0,8,0.0,0,8,3.3,8,25.3,8
2022/7/7,23.3,8,0.5,0,8,2.1,0,8,2.0,8,24.5,8
2022/7/8,23.8,8,1.0,0,8,6.1,0,8,3.1,8,22.6,8
2022/7/9,23.1,8,1.5,0,8,0.6,0,8,3.6,8,23.7,8
2022/7/10,25.4,8,0,1,8,12.2,0,8,2.1,8,25.3,8
2022/7/11,24.1,8,0.0,0,8,1.6,0,8,2.9,8,26.7,8
2022/7/12,23.5,8,44.0,0,8,0.0,0,8,2.2,8,27.0,8
2022/7/13,21.7,8,135.5,0,8,0.0,0,8,3.6,8,25.4,8
2022/7/14,21.3,8,1.5,0,8,0.1,0,8,2.4,8,22.3,8
2022/7/15,21.4,8,35.5,0,8,0.0,0,8,2.2,8,24.9,8
2022/7/16,21.8,8,79.5,0,8,0.0,0,8,3.4,8,25.2,8
2022/7/17,23.1,8,1.0,0,8,1.8,0,8,1.7,8,26.4,8
2022/7/18,25.9,8,0.0,0,8,6.3,0,8,2.1,8,26.4,8
2022/7/19,24.4,8,4.5,0,8,0.8,0,8,1.6,8,26.5,8
2022/7/20,26.0,8,0.5,0,8,5.9,0,8,3.6,8,24.9,8
2022/7/21,24.0,8,0.0,0,8,0.9,0,8,2.4,8,25.4,8
2022/7/22,23.7,8,23.0,0,8,0.0,0,8,2.5,8,28.4,8
2022/7/23,24.9,8,9.0,0,8,5.1,0,8,2.2,8,27.6,8
2022/7/24,25.2,8,0,1,8,8.8,0,8,2.8,8,25.3,8
2022/7/25,25.0,8,0.0,0,8,2.3,0,8,2.4,8,26.3,8
2022/7/26,25.9,8,3.0,0,8,5.0,0,8,1.9,8,29.4,8
2022/7/27,26.2,8,0.0,0,8,4.3,0,8,2.1,8,30.6,8
2022/7/28,26.0,8,0,1,8,6.4,0,8,2.7,8,28.8,8
2022/7/29,25.5,8,0.5,0,8,2.0,0,8,2.2,8,28.8,8
2022/7/30,25.9,8,0.0,0,8,6.0,0,8,2.5,8,29.1,8
2022/7/31,29.6,8,0,1,8,12.0,0,8,1.7,8,29.2,8
2022/8/1,28.6,8,0.0,0,8,7.6,0,8,2.5,8,29.2,8
2022/8/2,29.2,8,0.0,0,8,3.1,0,8,2.4,8,30.2,8
2022/8/3,25.2,8,20.5,0,8,0.0,0,8,2.1,8,29.5,8
2022/8/4,21.2,8,6.5,0,8,0.0,0,8,2.0,8,23.0,8
2022/8/5,21.4,8,2.5,0,8,0.0,0,8,2.2,8,21.5,8
2022/8/6,21.8,8,0.0,0,8,0.0,0,8,2.2,8,21.1,8
2022/8/7,24.0,8,0.0,0,8,1.7,0,8,1.8,8,25.8,8
2022/8/8,26.8,8,2.0,0,8,5.4,0,8,1.8,8,30.1,8
2022/8/9,30.4,8,0,1,8,7.1,0,8,2.5,8,28.9,8
2022/8/10,29.8,8,0,1,8,6.7,0,8,3.1,8,28.3,8
2022/8/11,27.7,8,14.5,0,8,2.8,0,8,1.8,8,31.0,8
2022/8/12,28.9,8,0.0,0,8,5.6,0,8,3.3,8,30.2,8
2022/8/13,27.5,8,0.0,0,8,2.7,0,8,4.1,8,28.3,8
2022/8/14,24.7,8,14.0,0,8,3.3,0,8,2.5,8,28.5,8
2022/8/15,24.0,8,1.5,0,8,0.1,0,8,1.9,8,28.0,8
2022/8/16,26.8,8,5.5,0,8,1.8,0,8,2.7,8,28.5,8
2022/8/17,25.8,8,7.0,0,8,7.5,0,8,3.2,8,24.1,8
2022/8/18,24.1,8,18.0,0,8,2.0,0,8,3.3,8,24.9,8
2022/8/19,26.4,8,0,1,8,12.6,0,8,3.3,8,19.5,8
2022/8/20,25.1,8,0.0,0,8,1.2,0,8,2.8,8,24.5,8
2022/8/21,25.8,8,0.0,0,8,11.7,0,8,2.5,8,25.3,8
2022/8/22,24.6,8,0.0,0,8,7.6,0,8,2.1,8,25.8,8
2022/8/23,27.0,8,1.0,0,8,4.2,0,8,2.2,8,29.9,8
2022/8/24,25.3,8,0.0,0,8,2.7,0,8,3.0,8,21.1,8
2022/8/25,23.6,8,0.0,0,8,0.3,0,8,2.4,8,22.3,8
2022/8/26,23.4,8,0.0,0,8,1.4,0,8,2.0,8,24.6,8
2022/8/27,24.1,8,1.5,0,8,1.4,0,8,1.9,8,25.9,8
2022/8/28,20.1,8,23.5,0,8,1.6,0,8,2.5,8,21.2,8
2022/8/29,21.0,8,0,1,8,11.0,0,8,2.5,8,17.3,8
2022/8/30,20.4,8,24.5,0,8,0.0,0,8,1.2,8,22.9,8
2022/8/31,22.2,8,1.5,0,8,0.0,0,8,1.4,8,25.8,8
2022/9/1,25.4,8,2.0,0,8,1.9,0,8,1.8,8,28.3,8
2022/9/2,24.6,8,1.0,0,8,3.6,0,8,3.0,8,23.8,8
2022/9/3,22.7,8,8.5,0,8,0.0,0,8,2.0,8,23.7,8
2022/9/4,21.6,8,7.0,0,8,0.0,0,8,2.4,8,23.8,8
2022/9/5,22.4,8,2.5,0,8,0.0,0,8,3.1,8,25.6,8
2022/9/6,24.2,8,0.0,0,8,0.7,0,8,6.0,8,28.0,8
2022/9/7,24.0,8,27.5,0,8,0.0,0,8,1.7,8,26.7,8
2022/9/8,20.0,8,16.5,0,8,0.0,0,8,2.3,8,22.4,8
2022/9/9,22.3,8,1.5,0,8,4.7,0,8,2.1,8,22.3,8
2022/9/10,23.5,8,0,1,8,11.4,0,8,2.3,8,21.0,8
2022/9/11,22.9,8,0,1,8,8.3,0,8,1.9,8,20.7,8
2022/9/12,23.5,8,0.0,0,8,7.7,0,8,2.6,8,23.6,8
2022/9/13,24.3,8,0,1,8,7.2,0,8,1.6,8,25.2,8
2022/9/14,23.5,8,0.0,0,8,8.5,0,8,3.1,8,20.6,8
2022/9/15,21.8,8,0,1,8,5.0,0,8,3.0,8,18.6,8
2022/9/16,23.1,8,0.0,0,8,5.2,0,8,2.9,8,21.8,8
2022/9/17,23.7,8,0,1,8,2.2,0,8,3.1,8,25.1,8
2022/9/18,25.3,8,0.5,0,8,5.3,0,8,4.6,8,28.6,8
2022/9/19,25.3,8,0.0,0,8,1.6,0,8,5.2,8,29.7,8
2022/9/20,21.0,8,2.5,0,8,0.0,0,8,4.4,8,20.0,8
2022/9/21,17.1,8,0.0,0,8,3.3,0,8,3.7,8,11.9,8
2022/9/22,16.9,8,2.5,0,8,0.4,0,8,2.8,8,15.8,8
2022/9/23,20.9,8,17.5,0,8,0.0,0,8,2.1,8,24.0,8
2022/9/24,21.8,8,25.0,0,8,0.0,0,8,2.5,8,23.2,8
2022/9/25,20.3,8,0,1,8,10.3,0,8,2.0,8,17.3,8
2022/9/26,20.9,8,0,1,8,7.2,0,8,2.2,8,19.3,8
2022/9/27,20.6,8,0.0,0,8,3.1,0,8,1.9,8,19.8,8
2022/9/28,20.7,8,0.0,0,8,4.5,0,8,2.6,8,15.8,8
2022/9/29,21.3,8,0,1,8,11.0,0,8,2.2,8,16.4,8
2022/9/30,20.7,8,0,1,8,11.0,0,8,2.2,8,18.5,8
2022/10/1,20.0,8,0.0,0,8,8.8,0,8,2.4,8,18.7,8
2022/10/2,20.8,8,0,1,8,10.3,0,8,2.5,8,18.3,8
2022/10/3,21.4,8,0.0,0,8,3.1,0,8,2.4,8,20.4,8
2022/10/4,23.0,8,0.0,0,8,0.3,0,8,2.8,8,20.6,8
2022/10/5,16.4,8,0.0,0,8,0.0,0,8,4.4,8,12.3,8
2022/10/6,11.6,8,0.5,0,8,1.3,0,8,1.8,8,10.3,8
2022/10/7,10.2,8,21.5,0,8,0.0,0,8,3.5,8,10.9,8
2022/10/8,15.5,8,0.0,0,8,6.4,0,8,3.3,8,12.7,8
2022/10/9,15.5,8,6.0,0,8,0.9,0,8,3.3,8,13.4,8
2022/10/10,17.6,8,9.0,0,8,0.7,0,8,2.5,8,18.9,8
2022/10/11,19.0,8,0.0,0,8,5.6,0,8,3.4,8,13.6,8
2022/10/12,16.8,8,0,1,8,0.5,0,8,2.4,8,12.3,8
2022/10/13,15.2,8,0.0,0,8,0.1,0,8,2.8,8,13.1,8
2022/10/14,17.4,8,0.0,0,8,3.7,0,8,2.0,8,14.6,8
2022/10/15,18.5,8,0,1,8,6.3,0,8,2.0,8,16.4,8
2022/10/16,17.6,8,0,1,8,2.2,0,8,3.0,8,16.6,8
2022/10/17,18.9,8,1.0,0,8,0.0,0,8,1.7,8,17.6,8
2022/10/18,14.6,8,0,1,8,5.3,0,8,3.8,8,9.6,8
2022/10/19,12.7,5,0,1,8,8.9,0,8,2.6,5,8.7,5
2022/10/20,14.0,8,0,1,8,9.3,0,8,2.4,8,10.0,8
2022/10/21,16.2,8,0,1,8,9.7,0,8,2.8,8,11.9,8
2022/10/22,16.6,8,0.0,0,8,1.3,0,8,2.1,8,14.0,8
2022/10/23,15.6,8,2.5,0,8,2.3,0,8,3.0,8,13.8,8
2022/10/24,11.6,8,0.0,0,8,3.8,0,8,3.7,8,7.7,8
2022/10/25,10.6,8,0.0,0,8,6.8,0,8,5.2,8,8.1,8
2022/10/26,11.1,8,0,1,8,7.5,0,8,4.2,8,7.8,8
2022/10/27,10.6,8,0,1,8,8.9,0,8,2.2,8,8.1,8
2022/10/28,12.3,8,0,1,8,10.0,0,8,2.2,8,9.8,8
2022/10/29,13.7,8,0.0,0,8,8.5,0,8,3.3,8,10.1,8
2022/10/30,13.2,8,0,1,8,8.8,0,8,2.9,8,9.4,8
2022/10/31,13.1,8,0.0,0,8,9.8,0,8,2.8,8,10.5,8
2022/11/1,14.1,8,0.0,0,8,2.8,0,8,2.1,8,12.5,8
2022/11/2,15.1,8,0,1,8,6.1,0,8,1.8,8,13.1,8
2022/11/3,15.7,8,0,1,8,8.2,0,8,2.5,8,11.7,8
2022/11/4,11.9,8,0.0,0,8,1.6,0,8,4.1,8,7.9,8
2022/11/5,10.1,8,0.0,0,8,4.2,0,8,1.6,8,7.3,8
2022/11/6,10.6,8,0.0,0,8,5.2,0,8,2.1,8,8.4,8
2022/11/7,12.6,8,0,1,8,7.9,0,8,2.1,8,9.9,8
2022/11/8,12.4,8,0.0,0,8,6.4,0,8,2.7,8,9.0,8
2022/11/9,12.6,8,0,1,8,8.2,0,8,2.2,8,8.1,8
2022/11/10,12.7,8,0,1,8,7.7,0,8,1.7,8,8.7,8
2022/11/11,14.2,8,0,1,8,9.2,0,8,2.5,8,11.2,8
2022/11/12,14.7,8,0,1,8,9.5,0,8,2.3,8,13.0,8
2022/11/13,15.7,8,0.0,0,8,3.2,0,8,3.7,8,13.3,8
2022/11/14,11.4,8,0.0,0,8,3.5,0,8,4.2,8,7.8,8
2022/11/15,9.2,8,0.0,0,8,4.2,0,8,2.3,8,8.3,8
2022/11/16,10.3,8,0.0,0,8,5.2,0,8,3.6,8,7.1,8
2022/11/17,8.8,8,0.0,0,8,5.7,0,8,2.5,8,6.7,8
2022/11/18,8.1,8,1.0,0,8,7.8,0,8,2.5,8,7.6,8
2022/11/19,9.7,8,0.0,0,8,5.4,0,8,2.7,8,8.3,8
2022/11/20,10.7,8,0.0,0,8,3.5,0,8,2.2,8,8.6,8
2022/11/21,11.5,8,8.0,0,8,2.0,0,8,2.4,8,12.3,8
2022/11/22,11.1,8,0.0,0,8,6.6,0,8,3.5,8,9.1,8
2022/11/23,7.6,8,34.0,0,8,0.0,0,8,4.3,8,8.6,8
2022/11/24,12.0,8,17.5,0,8,7.0,0,8,5.5,8,9.7,8
2022/11/25,10.7,8,0,1,8,7.8,0,8,2.4,8,8.7,8
2022/11/26,13.5,8,0.0,0,8,6.6,0,8,3.5,8,10.8,8
2022/11/27,10.2,8,0,1,8,9.1,0,8,4.6,8,6.3,8
2022/11/28,9.4,8,0,1,8,7.5,0,8,2.4,8,7.5,8
2022/11/29,17.0,8,8.0,0,8,0.2,0,8,5.7,8,14.5,8
2022/11/30,12.0,8,0.0,0,8,1.5,0,8,4.4,8,10.4,8
2022/12/1,4.5,8,0.0,0,8,1.1,0,8,3.1,8,5.9,8
2022/12/2,3.0,8,0.0,0,8,4.0,0,8,3.5,8,5.1,8
2022/12/3,5.0,8,0,1,8,7.4,0,8,3.3,8,6.3,8
2022/12/4,8.0,8,0.0,0,8,2.1,0,8,5.1,8,6.8,8
2022/12/5,3.8,8,0.0,0,8,1.9,0,8,3.1,8,5.2,8
2022/12/6,3.6,8,0.0,0,8,0.9,0,8,1.9,8,6.4,8
2022/12/7,5.7,8,0.5,0,8,1.4,0,8,1.7,8,7.3,8
2022/12/8,5.3,8,0.0,0,8,6.3,0,8,2.9,8,6.6,8
2022/12/9,5.6,8,0.0,0,8,5.0,0,8,1.9,8,6.3,8
2022/12/10,7.3,8,0.0,0,8,4.8,0,8,2.2,8,7.2,8
2022/12/11,5.1,8,5.0,0,8,4.1,0,8,3.6,8,6.9,8
2022/12/12,5.6,8,0.0,0,8,4.1,0,8,1.8,8,5.7,8
2022/12/13,8.6,8,0.0,0,8,2.2,0,8,4.1,8,7.4,8
2022/12/14,3.3,8,3.5,0,8,1.4,0,8,3.4,8,6.5,8
2022/12/15,2.0,8,0.5,0,8,3.3,0,8,2.0,8,5.9,8
2022/12/16,1.4,8,0.5,0,8,0.5,0,8,2.3,8,6.0,8
2022/12/17,0.8,8,0.5,0,8,0.5,0,8,1.7,8,5.6,8
2022/12/18,0.8,8,0.0,0,8,0.9,0,8,2.8,8,4.9,8
2022/12/19,-0.1,8,0.0,0,8,4.6,0,8,2.0,8,4.8,8
2022/12/20,0.6,8,0.0,0,8,4.5,0,8,1.4,8,4.9,8
2022/12/21,4.3,8,0,1,8,5.4,0,8,2.3,8,5.9,8
2022/12/22,6.8,8,13.5,0,8,0.0,0,8,4.6,8,8.0,8
2022/12/23,3.9,8,0.0,0,8,6.7,0,8,4.7,8,4.4,8
2022/12/24,3.5,8,2.0,0,8,4.3,0,8,3.2,8,6.0,8
2022/12/25,4.0,8,0.5,0,8,6.3,0,8,3.4,8,6.0,8
2022/12/26,4.5,8,0.0,0,8,9.0,0,8,4.9,8,6.0,8
2022/12/27,5.8,8,0.0,0,8,8.0,0,8,3.8,8,6.3,8
2022/12/28,6.9,8,0.0,0,8,6.5,0,8,2.7,8,6.4,8
2022/12/29,4.0,8,0.0,0,8,5.6,0,8,4.1,8,5.8,8
2022/12/30,3.3,8,0.0,0,8,4.1,0,8,2.8,8,4.7,8
2022/12/31,3.9,8,0,1,8,6.9,0,8,2.1,8,5.0,8
2023/1/1,3.6,8,0.0,0,8,3.8,0,8,3.1,8,5.7,8
2023/1/2,0.7,8,0.0,0,8,8.0,0,8,3.1,8,4.8,8
2023/1/3,2.2,8,0.0,0,8,7.5,0,8,3.2,8,4.2,8
2023/1/4,1.9,8,0.0,0,8,5.4,0,8,3.1,8,4.1,8
2023/1/5,1.7,8,0,1,8,5.3,0,8,3.7,8,4.0,8
2023/1/6,2.2,8,0,1,8,2.1,0,8,2.1,8,4.6,8
2023/1/7,2.8,8,0.0,0,8,3.0,0,8,2.2,8,5.1,8
2023/1/8,3.2,8,0,1,8,7.1,0,8,3.1,8,5.3,8
2023/1/9,4.5,8,0.0,0,8,1.4,0,8,1.8,8,6.2,8
2023/1/10,1.5,8,0.0,0,8,3.9,0,8,5.4,8,4.5,8
2023/1/11,4.3,8,0,1,8,5.1,0,8,2.4,8,5.1,8
2023/1/12,6.1,8,0.0,0,8,1.6,0,8,1.6,8,6.9,8
2023/1/13,8.2,8,0.0,0,8,6.9,0,8,2.1,8,7.1,8
2023/1/14,9.4,8,0.5,0,8,0.4,0,8,2.4,8,9.2,8
2023/1/15,6.8,8,0.5,0,8,0.7,0,8,2.0,8,7.2,8
2023/1/16,4.4,8,0.0,0,8,1.0,0,8,3.8,8,5.1,8
2023/1/17,2.5,8,0.0,0,8,2.6,0,8,2.0,8,4.6,8
2023/1/18,2.2,8,0.0,0,8,2.6,0,8,3.3,8,4.9,8
2023/1/19,1.7,8,0,1,8,9.5,0,8,2.6,8,4.3,8
2023/1/20,4.8,8,1.0,0,8,5.1,0,8,3.3,8,5.9,8
2023/1/21,1.1,8,0.0,0,8,5.6,0,8,4.6,8,4.0,8
2023/1/22,0.3,8,0.0,0,8,5.6,0,8,2.3,8,3.8,8
2023/1/23,0.3,8,0,1,8,0.1,0,8,2.1,8,4.2,8
2023/1/24,-0.2,8,0.0,0,8,1.5,0,8,4.6,8,4.3,8
2023/1/25,-5.4,8,6.0,0,8,0.1,0,8,3.7,8,3.0,8
2023/1/26,-1.5,8,0.0,0,8,7.7,0,8,3.1,8,3.9,8
2023/1/27,-1.2,8,0.0,0,8,2.1,0,8,2.6,8,4.2,8
2023/1/28,-1.2,8,0.0,0,8,5.9,0,8,3.4,8,3.5,8
2023/1/29,-1.9,8,0.0,0,8,4.4,0,8,1.9,8,3.9,8
2023/1/30,-0.4,8,2.0,0,8,7.0,0,8,2.9,8,4.6,8
2023/1/31,-0.9,8,0,1,8,6.4,0,8,2.6,8,3.9,8
2023/2/1,2.8,8,0.5,0,8,8.6,0,8,3.5,8,4.8,8
2023/2/2,1.4,8,1.0,0,8,9.4,0,8,4.5,8,4.6,8
2023/2/3,0.4,8,0.0,0,8,0.9,0,8,2.8,8,3.9,8
2023/2/4,1.4,8,0.5,0,8,3.5,0,8,2.5,8,4.7,8
2023/2/5,2.2,8,0,1,8,7.8,0,8,2.6,8,4.7,8
2023/2/6,3.8,8,0,1,8,3.0,0,8,2.6,8,5.6,8
2023/2/7,6.4,8,0.0,0,8,5.2,0,8,2.7,8,6.5,8
2023/2/8,4.1,8,0.0,0,8,6.4,0,8,3.5,8,5.1,8
2023/2/9,1.1,8,0.0,0,8,7.8,0,8,5.4,8,3.9,8
2023/2/10,-1.6,8,13.5,0,8,0.0,0,8,3.2,8,4.3,8
2023/2/11,4.3,8,0.0,0,8,10.1,0,8,4.0,8,5.3,8
2023/2/12,4.7,8,0,1,8,8.4,0,8,2.6,8,5.8,8
2023/2/13,3.1,8,2.5,0,8,0.0,0,8,3.4,8,6.6,8
2023/2/14,0.2,8,1.0,0,8,3.7,0,8,3.7,8,4.4,8
2023/2/15,-1.7,8,1.0,0,8,1.5,0,8,2.7,8,4.1,8
2023/2/16,0.7,8,0.0,0,8,10.1,0,8,3.3,8,3.7,8
2023/2/17,4.4,8,0,1,8,9.8,0,8,2.2,8,4.5,8
2023/2/18,7.7,8,0.0,0,8,5.4,0,8,2.0,8,6.6,8
2023/2/19,5.9,8,11.0,0,8,0.4,0,8,3.6,8,7.8,8
2023/2/20,2.4,8,0.0,0,8,9.2,0,8,6.8,8,4.2,8
2023/2/21,-0.3,8,0.0,0,8,6.3,0,8,3.1,8,3.8,8
2023/2/22,1.5,8,0.0,0,8,5.5,0,8,2.4,8,4.1,8
2023/2/23,3.2,8,0.0,0,8,1.5,0,8,1.5,8,5.1,8
2023/2/24,6.5,8,0.0,0,8,1.7,0,8,2.2,8,6.9,8
2023/2/25,3.7,8,0.5,0,8,4.2,0,8,4.3,8,5.1,8
2023/2/26,2.1,8,0.0,0,8,8.0,0,8,5.1,8,4.1,8
2023/2/27,4.6,8,0,1,8,10.8,0,8,4.3,8,3.6,8
2023/2/28,8.7,8,0,1,8,10.8,0,8,3.0,8,3.5,8
2023/3/1,12.2,8,0,1,8,7.2,0,8,3.7,8,6.4,8
2023/3/2,7.0,8,0.0,0,8,2.0,0,8,4.5,8,6.0,8
2023/3/3,4.5,8,0.0,0,8,3.2,0,8,2.5,8,5.2,8
2023/3/4,6.2,8,0.0,0,8,7.8,0,8,3.7,8,4.8,8
2023/3/5,4.3,8,0,1,8,10.8,0,8,2.7,8,4.4,8
2023/3/6,6.1,8,0,1,8,6.0,0,8,2.2,8,6.3,8
